time,class,confidence,bbox
2025-08-24 01:11:33,handbag,0.42905014753341675,"[32.430580139160156, 265.8414001464844, 106.05550384521484, 324.8576354980469]"
2025-08-24 01:11:34,person,0.7487576603889465,"[478.51849365234375, 114.7465591430664, 512.7137451171875, 239.87408447265625]"
2025-08-24 01:11:34,person,0.7459471225738525,"[14.182823181152344, 121.10884094238281, 55.39202117919922, 214.44126892089844]"
2025-08-24 01:11:34,person,0.7183398604393005,"[540.6824340820312, 103.23214721679688, 572.0703735351562, 238.41644287109375]"
2025-08-24 01:11:34,person,0.6950262784957886,"[386.9144287109375, 163.44009399414062, 412.18170166015625, 216.37472534179688]"
2025-08-24 01:11:34,person,0.5405365824699402,"[0.08452987670898438, 197.29043579101562, 43.38205337524414, 315.1242980957031]"
2025-08-24 01:11:34,person,0.47066792845726013,"[563.7890625, 117.28561401367188, 592.141845703125, 220.61859130859375]"
2025-08-24 01:11:34,handbag,0.4006741940975189,"[32.414588928222656, 262.1924133300781, 105.7688980102539, 324.8099670410156]"
2025-08-24 01:11:34,person,0.7457193732261658,"[478.16375732421875, 114.7877197265625, 512.505859375, 239.917236328125]"
2025-08-24 01:11:34,person,0.6990906596183777,"[386.4020080566406, 163.292236328125, 411.2767639160156, 216.04217529296875]"
2025-08-24 01:11:34,person,0.6969065070152283,"[540.3377075195312, 102.29554748535156, 574.4542846679688, 239.4391326904297]"
2025-08-24 01:11:34,person,0.6416361927986145,"[12.398721694946289, 121.66877746582031, 47.5338134765625, 213.72401428222656]"
2025-08-24 01:11:34,person,0.5441633462905884,"[0.08407211303710938, 197.34475708007812, 42.821712493896484, 315.4093933105469]"
2025-08-24 01:11:34,handbag,0.4134000539779663,"[32.72792434692383, 268.0457458496094, 105.64898681640625, 324.9217224121094]"
2025-08-24 01:11:34,person,0.3798533082008362,"[564.037109375, 116.73696899414062, 593.294189453125, 222.84695434570312]"
2025-08-24 01:11:34,person,0.7401069402694702,"[477.8482666015625, 114.89237976074219, 512.1658935546875, 239.7779083251953]"
2025-08-24 01:11:34,person,0.7337515950202942,"[385.4350280761719, 162.69271850585938, 410.3050231933594, 215.86502075195312]"
2025-08-24 01:11:34,person,0.7206795811653137,"[540.4622192382812, 102.63494873046875, 573.6251831054688, 240.46206665039062]"
2025-08-24 01:11:34,person,0.6176324486732483,"[563.935302734375, 116.32902526855469, 593.3240966796875, 222.35414123535156]"
2025-08-24 01:11:34,person,0.5309947729110718,"[0.10048484802246094, 197.57025146484375, 43.64581298828125, 315.45611572265625]"
2025-08-24 01:11:34,person,0.46151015162467957,"[8.166709899902344, 120.74050903320312, 43.82204055786133, 214.86447143554688]"
2025-08-24 01:11:34,handbag,0.4237384498119354,"[32.97456359863281, 264.5846862792969, 105.62541198730469, 324.9487609863281]"
2025-08-24 01:11:34,person,0.7715346813201904,"[6.440637588500977, 121.07096862792969, 41.02251434326172, 215.17152404785156]"
2025-08-24 01:11:34,person,0.7704550623893738,"[385.3252258300781, 162.01925659179688, 408.8637390136719, 216.52496337890625]"
2025-08-24 01:11:34,person,0.7394248843193054,"[477.996826171875, 114.70590209960938, 512.1674194335938, 239.91799926757812]"
2025-08-24 01:11:34,person,0.7294926643371582,"[540.5362548828125, 102.78594207763672, 572.209228515625, 239.77117919921875]"
2025-08-24 01:11:34,person,0.6789147853851318,"[563.4890747070312, 115.95209503173828, 593.7614135742188, 222.82449340820312]"
2025-08-24 01:11:34,person,0.5593184232711792,"[0.07819366455078125, 198.09043884277344, 42.06682586669922, 315.338623046875]"
2025-08-24 01:11:34,handbag,0.44308388233184814,"[33.170040130615234, 264.23004150390625, 105.65199279785156, 324.9677734375]"
2025-08-24 01:11:34,person,0.765479326248169,"[4.731256484985352, 121.29367065429688, 39.72705841064453, 215.67807006835938]"
2025-08-24 01:11:34,person,0.7615591883659363,"[383.47821044921875, 161.97784423828125, 408.09991455078125, 214.31582641601562]"
2025-08-24 01:11:34,person,0.7404999732971191,"[477.8642883300781, 114.9096450805664, 511.9864196777344, 239.74520874023438]"
2025-08-24 01:11:34,person,0.7091197371482849,"[540.5339965820312, 101.87738037109375, 574.8031616210938, 240.85250854492188]"
2025-08-24 01:11:34,person,0.6043541431427002,"[563.45068359375, 115.3876953125, 593.44189453125, 221.68707275390625]"
2025-08-24 01:11:34,person,0.5231335163116455,"[0.08539390563964844, 200.38589477539062, 41.704063415527344, 315.1351623535156]"
2025-08-24 01:11:34,handbag,0.4364546537399292,"[33.50008010864258, 264.56219482421875, 105.63035583496094, 325.00048828125]"
2025-08-24 01:11:34,person,0.766289472579956,"[3.800565719604492, 120.30918884277344, 35.571006774902344, 214.25660705566406]"
2025-08-24 01:11:34,person,0.7451829314231873,"[382.67535400390625, 161.952392578125, 406.47698974609375, 214.8565673828125]"
2025-08-24 01:11:34,person,0.7305667400360107,"[477.869384765625, 114.78661346435547, 511.80908203125, 239.60760498046875]"
2025-08-24 01:11:34,person,0.6959056258201599,"[540.44287109375, 101.72689056396484, 576.8377685546875, 240.4854736328125]"
